date,company,job_title,location,skills,salary_min,salary_max
2025-05-19 11:00:03+00:00,Anchorage Digital,member of product marketing protocols,United States,"['crypto', 'security', 'technical', 'support', 'copywriting', 'growth', 'financial', 'finance', 'bank', 'lead', 'content', 'marketing', 'legal', 'sales', 'educational']",40000,70000
2025-05-17 13:00:04+00:00,Ironclad,manager engineering ii data pipelines,San Francisco,"['manager', 'design', 'hr', 'docker', 'technical', 'software', 'testing', 'growth', 'cloud', 'leader', 'management', 'operational', 'legal', 'sales', 'health', 'engineering', 'digital nomad']",67500,97500
2025-05-16 22:00:03+00:00,PIP Labs,visual designer,US,"['design', 'web3', 'designer', 'management', 'content', 'senior', 'marketing', 'digital nomad']",80000,150000
2025-05-16 11:00:10+00:00,Symmetry Systems,marketing design intern 2025 summer intern,Remote,"['design', 'security', 'technical', 'support', 'software', 'video', 'management', 'content', 'marketing', 'digital nomad']",70000,80000
2025-05-16 11:00:03+00:00,Blueland,lifecycle marketing associate,Remote,"['support', 'growth', 'investment', 'strategy', 'management', 'marketing', 'part-time']",35000,65000
2025-05-16 10:00:03+00:00,Anchorage Digital,member of product trading,United States,"['design', 'crypto', 'cryptocurrency', 'swift', 'security', 'technical', 'growth', 'voice', 'manager', 'financial', 'finance', 'bank', 'strategy', 'management', 'senior', 'legal', 'engineering', 'digital nomad']",67500,125000
2025-05-16 00:00:06+00:00,EnableComp,associate attorney,,"['training', 'support', 'growth', 'financial', 'strategy', 'management', 'senior', 'legal', 'health', 'healthcare']",90000,152500
2025-05-15 18:00:01+00:00,,,,"['sales', 'non tech']",40000,67500
2025-05-15 11:41:41+00:00,Interaction Design Foundation,member support unicorn,,"['admin', 'customer support', 'social media']",10000,750000
2025-05-15 10:00:03+00:00,Notabene,staff frontend engineer,,"['frontend', 'design', 'crypto', 'cryptocurrency', 'system', 'front-end', 'security', 'full-stack', 'technical', 'support', 'software', 'growth', 'code', 'web', 'manager', 'financial', 'fintech', 'typescript', 'lead', 'junior', 'reliability', 'engineer', 'engineering', 'digital nomad']",70000,110000
2025-05-15 00:00:20+00:00,Warner Music Inc.,staff machine learning engineer,,"['music', 'design', 'system', 'training', 'software', 'cloud', 'junior', 'engineer', 'engineering', 'full-time', 'digital nomad']",60000,97500
2025-05-15 00:00:09+00:00,Qualdoc,recruiter,NA,"['system', 'recruiter', 'support', 'manager', 'microsoft', 'recruiting', 'recruitment']",0,0
2025-05-14 22:23:33+00:00,Contra,social media expert,,['social media'],120000,150000
2025-05-14 22:22:19+00:00,Contra,app designer,,['designer'],120000,150000
2025-05-14 15:01:34+00:00,Daisychain,full stack software engineer,,"['engineer', 'dev', 'javascript', 'ruby', 'postgres', 'vue', 'typescript', 'redis', 'aws']",70000,160000
2025-05-14 00:00:07+00:00,Trial Library,testing engineer,"San Francisco, CA","['testing', 'system', 'frontend', 'security', 'python', 'software', 'test', 'code', 'qa', 'typescript', 'api', 'reliability', 'health', 'healthcare', 'engineer', 'engineering', 'backend']",70000,120000
2025-05-13 16:00:31+00:00,Find,accountant,Sliema,"['accountant', 'support', 'controller', 'accounting', 'financial', 'finance', 'microsoft', 'management', 'operations', 'non tech']",25000,65000
2025-05-13 16:00:25+00:00,Find,commercial content editor,,"['crypto', 'cryptocurrency', 'financial', 'seo', 'management', 'content', 'operations', 'sales', 'non tech']",32500,70000
2025-05-13 08:00:16+00:00,Oowlish Technology,salesforce engineer,,"['salesforce', 'software', 'growth', 'engineer']",60000,125000
2025-05-13 08:00:10+00:00,Bluelight Consulting,account coordinator,"Indianapolis, Indiana","['consulting', 'training', 'coordinator', 'support', 'growth', 'manager', 'education', 'management', 'content', 'senior', 'marketing']",80000,150000
2025-05-13 06:00:04+00:00,AVA Foundation,head of growth,Anywhere,"['growth', 'design', 'web3', 'crypto', 'test', 'travel', 'strategy', 'management', 'lead', 'digital nomad']",40000,80000
2025-05-12 16:00:04+00:00,Public Cloud Group,werkstudent im bereich sap &amp; cloud automation,Alle,"['python', 'cloud', 'linux']",55000,80000
2025-05-12 10:15:02+00:00,WunderGraph,senior golang engineer,,"['golang', 'graphql', 'senior', 'golang', 'engineer']",70000,120000
2025-05-12 09:00:02+00:00,bloXroute Labs,software engineering team lead,Remote,"['software', 'support', 'testing', 'growth', 'code', 'lead', 'go', 'engineering', 'backend']",75000,102500
2025-05-11 16:00:19+00:00,Bounteous,salesforce lead,India,"['salesforce', 'design', 'security', 'consultancy', 'technical', 'software', 'management', 'lead', 'analytics', 'legal', 'digital nomad']",60000,130000
2025-05-11 16:00:12+00:00,FiscalNote,mid market sales account executive,United States - Remote,"['salesforce', 'training', 'support', 'software', 'leader', 'management', 'lead', 'sales', 'recruiting', 'executive']",52500,100000
2025-05-11 14:00:03+00:00,Vesta,support specialist,Remote,"['system', 'security', 'support', 'software', 'financial', 'finance', 'cloud', 'engineering']",55000,77500
